# index, X (South) [m], Y (West) [m], Z (Down) [m]
  1,  16249.3,  1908.7,  2393.2
  2,  16284.8,  1920.0,  2390.3
  3,  16333.0,  1926.2,  2390.9
  4,  16383.4,  1931.1,  2392.4
  5,  16425.5,  1934.9,  2393.7
  6,  16470.9,  1943.8,  2392.8
  7,  16521.9,  1948.7,  2394.3
  8,  16567.8,  1963.2,  2390.6
  9,  16615.8,  1974.8,  2388.5
 10,  16656.0,  1984.5,  2386.8
 11,  16712.0,  1999.4,  2383.7
 12,  16719.1,  1944.4,  2411.7
 13,  16670.9,  1935.9,  2412.2
 14,  16626.5,  1930.8,  2411.3
 15,  16568.2,  1917.6,  2413.4
 16,  16520.0,  1906.2,  2415.4
 17,  16454.7,  1899.5,  2413.7
 18,  16400.7,  1887.2,  2415.7
 19,  16346.7,  1881.6,  2414.3
 20,  16307.6,  1871.6,  2415.3
 21,  16263.0,  1861.0,  2416.3
 22,  16269.0,  1804.1,  2442.7
 23,  16309.0,  1821.8,  2437.5
 24,  16347.6,  1829.8,  2437.3
 25,  16353.9,  1788.4,  2459.3
 26,  16319.9,  1779.6,  2460.1
 27,  16285.4,  1769.3,  2461.8
 28,  16394.7,  1792.2,  2461.5
 29,  16384.5,  1835.1,  2438.5
 30,  16424.0,  1837.5,  2441.5
 31,  16426.7,  1796.7,  2462.4
 32,  16474.2,  1815.9,  2455.1
 33,  16536.2,  1836.0,  2451.8
 34,  16577.4,  1847.4,  2449.2
 35,  16609.7,  1869.5,  2440.7
 36,  16644.5,  1868.4,  2443.9
 37,  16695.5,  1876.9,  2443.6
 38,  16740.9,  1890.5,  2440.1
 39,  16753.0,  1842.3,  2459.6
 40,  16697.7,  1841.9,  2461.3
 41,  16652.3,  1823.4,  2467.1
 42,  16612.9,  1825.7,  2462.8
 43,  16579.0,  1807.6,  2469.3
 44,  16528.7,  1798.7,  2469.8
 45,  16494.5,  1750.5,  2491.0
 46,  16461.2,  1742.9,  2492.2
 47,  16417.1,  1725.3,  2486.6
 48,  16377.5,  1700.5,  2502.8
 49,  16341.8,  1673.5,  2512.3
 50,  16268.4,  1705.2,  2491.5
 51,  16307.4,  1716.2,  2491.0
 52,  16275.7,  1648.4,  2520.1
 53,  16301.7,  1658.3,  2519.0
 54,  16289.3,  1609.7,  2541.6
 55,  16330.1,  1622.8,  2541.0
 56,  16364.3,  1640.5,  2536.2
 57,  16399.2,  1654.4,  2532.0
 58,  16427.4,  1677.4,  2522.7
 59,  16458.7,  1689.2,  2516.1
 60,  16488.6,  1705.3,  2513.1
 61,  16519.0,  1710.1,  2513.0
 62,  16603.9,  1771.6,  2489.2
 63,  16645.6,  1783.8,  2486.4
 64,  16696.2,  1781.2,  2484.6
 65,  16749.6,  1782.3,  2494.6
 66,  16606.5,  1723.2,  2512.9
 67,  16651.2,  1734.6,  2511.4
 68,  16692.9,  1734.3,  2509.9
 69,  16732.6,  1741.3,  2513.8
 70,  16769.3,  1745.4,  2514.5
 71,  16740.0,  1697.5,  2536.2
 72,  16695.8,  1694.2,  2536.8
 73,  16640.2,  1687.4,  2540.9
 74,  16557.6,  1680.2,  2529.1
 75,  16514.5,  1668.1,  2534.0
 76,  16474.0,  1647.3,  2541.3
 77,  16426.0,  1627.4,  2547.6
 78,  16397.0,  1600.6,  2558.7
 79,  16352.3,  1591.1,  2560.7
 80,  16303.5,  1570.7,  2563.9
 81,  16305.2,  1531.8,  2585.3
 82,  16356.2,  1545.2,  2583.3
 83,  16398.3,  1563.5,  2577.4
 84,  16436.4,  1584.9,  2569.6
 85,  16466.2,  1606.3,  2561.2
 86,  16501.5,  1616.3,  2558.9
 87,  16539.9,  1622.5,  2547.3
 88,  16574.0,  1625.2,  2559.6
 89,  16661.1,  1645.8,  2556.0
 90,  16690.2,  1630.2,  2566.0
 91,  16713.2,  1602.9,  2575.1
 92,  16754.9,  1608.3,  2581.8
 93,  16586.1,  1583.8,  2581.2
 94,  16538.6,  1580.7,  2596.9
 95,  16501.9,  1573.8,  2577.1
 96,  16472.7,  1557.2,  2586.3
 97,  16441.7,  1539.3,  2592.8
 98,  16399.3,  1525.9,  2596.2
 99,  16370.0,  1510.1,  2601.9
100,  16321.6,  1497.9,  2604.2
101,  16350.1,  1472.0,  2619.0
102,  16332.1,  1417.8,  2639.9
103,  16361.6,  1439.8,  2633.8
104,  16392.4,  1447.5,  2634.3
105,  16441.9,  1451.9,  2637.2
106,  16477.9,  1463.0,  2633.8
107,  16532.0,  1464.7,  2637.1
108,  16581.6,  1539.3,  2603.1
109,  16532.4,  1533.1,  2602.4
110,  16490.4,  1519.9,  2589.2
111,  16403.1,  1485.0,  2617.0
112,  16439.1,  1505.0,  2609.8
113,  16342.5,  1384.7,  2658.9
114,  16371.3,  1404.4,  2652.0
115,  16412.4,  1415.0,  2651.5
116,  16460.4,  1416.4,  2655.9
117,  16506.4,  1417.6,  2654.9
118,  16551.0,  1427.7,  2638.3
119,  16481.0,  1385.3,  2672.9
120,  16437.7,  1385.7,  2669.3
121,  16398.0,  1368.3,  2675.0
122,  16368.0,  1349.6,  2682.0
123,  16612.2,  1495.2,  2623.0
124,  16658.3,  1511.8,  2619.5
125,  16708.0,  1531.8,  2617.2
126,  16749.2,  1537.9,  2616.5
127,  16819.5,  1546.8,  2612.5
128,  16728.3,  1575.5,  2596.2
129,  16608.9,  1455.2,  2647.8
130,  16637.5,  1470.8,  2642.2
131,  16683.2,  1489.3,  2636.5
132,  16736.0,  1494.0,  2638.3
133,  16784.0,  1498.7,  2639.6
134,  16841.5,  1511.2,  2637.8
135,  16879.3,  1516.0,  2638.4
136,  16913.0,  1492.4,  2652.8
137,  16879.5,  1479.7,  2656.5
138,  16829.4,  1462.6,  2661.2
139,  16788.3,  1458.6,  2660.0
140,  16742.1,  1448.0,  2661.7
141,  16704.1,  1439.5,  2663.1
142,  16672.1,  1440.2,  2660.2
143,  16628.0,  1421.1,  2666.4
144,  16601.6,  1397.2,  2676.3
145,  16664.6,  1389.2,  2685.2
146,  16712.5,  1399.2,  2683.8
147,  16746.3,  1405.2,  2683.5
